OBJECTID,Id,gridcode,ShapeLongi,ShapeLatit,Shape_Leng,Shape_Area,Longitude,Latitude
16674,773342,67173688,-133.6586614,54.76955198,14816,13719616,-133.6586614,54.76955198
16675,773343,38615944,-133.6038204,54.75950276,14816,13719616,-133.6038204,54.75950276
16676,773344,19642788,-133.5490081,54.74942719,14816,13719616,-133.5490081,54.74942719
16677,773345,6050687,-133.4942246,54.73932529,14816,13719616,-133.4942246,54.73932529
16678,773346,16057823,-133.4394699,54.72919708,14816,13719616,-133.4394699,54.72919708
16679,773347,86143720,-133.384744,54.71904258,14816,13719616,-133.384744,54.71904257
16682,773350,90213888,-133.2207402,54.68842152,14816,13719616,-133.2207402,54.68842152
16683,773351,16612769,-133.1661304,54.67816204,14816,13719616,-133.1661304,54.67816204
16684,773352,9392487,-133.1115496,54.66787638,14816,13719616,-133.1115496,54.66787638
16685,773353,84381016,-133.056998,54.65756453,14816,13719616,-133.056998,54.65756453
16687,773355,96604488,-132.9479826,54.6368624,14816,13719616,-132.9479826,54.6368624
16688,773356,5872971,-132.8935188,54.62647215,14816,13719616,-132.8935188,54.62647215
16690,773358,62131064,-132.7846795,54.60561338,14816,13719616,-132.7846795,54.60561338
16692,773360,92098888,-132.6852708,54.5850009,12577.91292,9204863.995,-132.675958,54.58465037
16694,774264,23594288,-158.3884582,56.44076266,14165.2887,12161226.92,-158.3911077,56.44215387
16695,774265,22512490,-158.3310805,56.44433303,14816,13719616,-158.3310805,56.44433303
16696,774266,86861488,-158.2712762,56.44633728,16969.16256,13532169.05,-158.2710463,56.44648223
16697,774267,95135896,-158.2120231,56.4468021,13830.71299,12179283.66,-158.2110051,56.44860146
16698,774268,91496416,-158.1509203,56.44843377,15274.69871,11738089.94,-158.150957,56.45069072
16699,774269,93871384,-158.0908492,56.45272546,14712.79745,13696333.57,-158.0909021,56.45275001
16700,774270,18832806,-158.0308404,56.45477933,14816,13719616,-158.0308404,56.45477933
16701,774271,46365764,-157.9707722,56.45677865,16037.56653,13702036.65,-157.9707722,56.45677865
