,CRUISEJOIN,REGION,VESSEL,CRUISE,START_DATE,END_DATE,MIN_LATITUDE,MAX_LATITUDE,MIN_LONGITUDE,MAX_LONGITUDE,AGENCY_NAME,SURVEY_NAME,AUDITJOIN
78,181,BS,514,198101,7/12/1981 0:00,10/9/1981 0:00,54.10333,60.90833,-165.47867,-179.79633,JAPAN,USJPNCOOP,170
79,965533,BS,88,199901,5/23/1999 0:00,7/15/1999 0:00,54.60201,62.00377,-177.59711,-158.3644,USA,1999 Bering Sea Bottom Trawl Survey,1
80,1010675,BS,89,200001,5/23/2000 0:00,7/20/2000 0:00,54.83447,62.00667,-178.183,-158.3302,USA,2000 Bering Sea Bottom Trawl Survey,8
81,1010676,BS,88,200001,5/23/2000 0:00,7/13/2000 0:00,54.67172,62.00216,-178.183,-158.3302,USA,2000 Bering Sea Bottom Trawl Survey,9
82,1023495,BS,57,200001,6/20/2000 0:00,7/19/2000 0:00,54.28084,60.33742,-179.1712,-166.50999,USA,2000 Bering Sea Slope Survey,10
83,1058875,BS,134,200101,2/18/2001 0:00,2/28/2001 0:00,54.33617,55.9555,-165.894,-164.1047,USA,2001 Winter Survey,19
84,1059320,BS,31,200101,2/18/2001 0:00,2/28/2001 0:00,54.33349,55.86489,-165.977,-164.2196,USA,2001 Winter Survey,20
85,1061275,BS,88,200002,7/25/2000 0:00,7/28/2000 0:00,55.56144,55.65814,-168.1158,-167.62331,USA,Poly Nor eastern Bottom Trawl Speed/Catchablilty study,23
86,1063015,BS,88,200101,5/31/2001 0:00,7/19/2001 0:00,54.99483,62.67223,-177.186,-159.1252,USA,2001 Eastern Bering Sea Groundfish/Crab Survey,26
87,1063016,BS,89,200101,5/29/2001 0:00,7/19/2001 0:00,54.66772,62.67266,-178.1545,-157.96449,USA,2001 Eastern Bering Sea Groundfish/Crab Survey,27
88,43,BS,763,198001,9/20/1980 0:00,1/11/1981 0:00,54.74,62.47667,-158.48833,-178.79,USSR,USSOV COOP,35
