"","gridcode","Stratum","Area_KM2","lon_centro","lat_centro","Shape_Leng","Shape_Area","lon","lat"
"13019",75125584,"70",13.719616,-762814.2069,1364547.7754,0.208469113839,0.00231241049006,-168.494171042,61.5081920895
"13020",44855560,"70",13.719616,-759110.2069,1364547.7754,0.208480911635,0.00231293935189,-168.42598997,61.5153463895
"13021",55844456,"70",13.719616,-755406.2069,1364547.7754,0.208492590525,0.002313466019,-168.357777987,61.5224674903
"13022",64920752,"70",13.719616,-751702.2069,1364547.7754,0.208504151905,0.00231399051355,-168.289535214,61.52955537
"13023",79459672,"70",13.719616,-747998.2069,1364547.7754,0.208515596325,0.00231451285083,-168.221261775,61.5366100056
"13024",78935688,"70",13.719616,-744294.2069,1364547.7754,0.20852692277,0.0023150329731,-168.152957794,61.5436313747
"13025",39123204,"70",13.719616,-740590.2069,1364547.7754,0.208538132048,0.00231555088993,-168.084623396,61.550619455
"13026",64772492,"70",13.719616,-736886.2069,1364547.7754,0.20854922651,0.00231606661506,-168.016258705,61.5575742244
"13027",70248288,"70",13.719616,-733182.2069,1364547.7754,0.208560205912,0.00231658013698,-167.947863845,61.5644956607
"13028",10139076,"70",13.719616,-729478.2069,1364547.7754,0.208571070485,0.00231709145258,-167.879438941,61.5713837418
"13029",61261468,"70",13.719616,-725774.2069,1364547.7754,0.208581819769,0.00231760051602,-167.81098412,61.5782384455
"13030",5613441,"70",13.719616,-722070.2069,1364547.7754,0.208592455744,0.00231810736233,-167.742499508,61.5850597504
"13031",24905132,"70",13.719616,-718366.2069,1364547.7754,0.208602979187,0.00231861200112,-167.67398523,61.5918476346
"13032",82599648,"70",13.719616,-714662.2069,1364547.7754,0.208613391261,0.00231911438999,-167.605441413,61.5986020762
"13033",44080552,"70",13.719616,-710958.2069,1364547.7754,0.20862369016,0.00231961454349,-167.536868184,61.6053230532
"13034",40880800,"70",13.719616,-707254.2069,1364547.7754,0.208633879823,0.00232011247865,-167.468265671,61.6120105449
"13035",60597056,"70",13.719616,-703550.2069,1364547.7754,0.208643958637,0.00232060814404,-167.399634001,61.6186645294
"13036",27087426,"70",13.719616,-699846.2069,1364547.7754,0.208653925378,0.00232110151638,-167.330973303,61.6252849847
"13037",7136653,"70",13.719616,-696142.2069,1364547.7754,0.208663786178,0.00232159270922,-167.262283705,61.6318718902
"13038",48826308,"70",13.719616,-692438.2069,1364547.7754,0.20867353645,0.0023220815978,-167.193565335,61.6384252249
"13039",61125672,"70",13.719616,-688734.2069,1364547.7754,0.208683178118,0.00232256819596,-167.124818323,61.6449449671
"13040",89021280,"70",13.719616,-685030.2069,1364547.7754,0.208692714338,0.00232305254392,-167.056042799,61.6514310958
"13041",20504876,"70",13.719616,-681326.2069,1364547.7754,0.208702142706,0.0023235346127,-166.987238892,61.6578835903
"13042",60928940,"70",13.719616,-677622.2069,1364547.7754,0.208711463377,0.00232401436876,-166.918406732,61.6643024297
"13043",60963236,"70",13.719616,-673918.2069,1364547.7754,0.208720682271,0.00232449189123,-166.849546451,61.6706875931
