"","X","Y","area_km2","geometry"
"677...185",495.161163837437,6887.05544490255,493.906176,c(495161.163837437, 6887055.44490255)
"678...186",516.72346020271,6892.66279339789,493.906176,c(516723.46020271, 6892662.79339789)
"679...187",538.284650488573,6898.27464613958,493.906176,c(538284.650488573, 6898274.64613958)
"680...188",559.844926498006,6903.89119419689,493.906176,c(559844.926498006, 6903891.19419689)
"681...189",581.404481694591,6909.512626681,493.906176,c(581404.481694591, 6909512.626681)
"682...190",602.963511228092,6915.13913080196,493.906176,c(602963.511228092, 6915139.13080196)
"683",624.522211956801,6920.77089192665,493.906176,c(624522.211956801, 6920770.89192665)
"684",646.080782466566,6926.40809363732,493.906176,c(646080.782466566, 6926408.09363732)
"685",667.639423086443,6932.05091779075,493.906176,c(667639.423086443, 6932050.91779075)
"686",689.198335900928,6937.699544578,493.906176,c(689198.335900928, 6937699.544578)
"687",710.75772475871,6943.35415258418,493.906176,c(710757.72475871, 6943354.15258418)
"688",729.406827305726,6948.66437361657,363.813153232874,c(729406.827305726, 6948664.37361657)
"715.1",482.303232523146,6862.82766561185,303.130024726753,c(482303.232523146, 6862827.66561185)
"716",500.804724389875,6865.63653270074,493.906176,c(500804.724389875, 6865636.53270074)
"717...199",522.369194670456,6871.24426916358,493.906176,c(522369.194670456, 6871244.26916358)
"718...200",543.932767148755,6876.85628333078,493.906176,c(543932.767148755, 6876856.28333078)
"719",565.495633150583,6882.47276742333,493.906176,c(565495.633150583, 6882472.76742333)
"720...202",587.057985579451,6888.09391170294,493.906176,c(587057.985579451, 6888093.91170294)
"721...203",608.620018941574,6893.71990452561,493.906176,c(608620.018941574, 6893719.90452561)
"722...204",630.181929367822,6899.35093239608,493.906176,c(630181.929367822, 6899350.93239608)
"723...205",651.743914632566,6904.98718002284,493.906176,c(651743.914632566, 6904987.18002284)
"724...206",673.306174169361,6910.62883037383,493.906176,c(673306.174169361, 6910628.83037383)
"725...207",694.868909083415,6916.27606473238,493.906176,c(694868.909083415, 6916276.06473238)
"726...208",716.432322160808,6921.92906275344,493.906176,c(716432.322160808, 6921929.06275344)
"727...209",733.158383085139,6926.97504829691,277.005546990591,c(733158.383085139, 6926975.04829691)
"754.1",491.36571786974,6849.09351156763,25.3885054937022,c(491365.71786974, 6849093.51156763)
"755.1",507.530943158922,6845.56349403308,420.775638800678,c(507530.943158922, 6845563.49403308)
"756",528.015788003613,6849.828040202,493.906176,c(528015.788003613, 6849828.040202)
"757",549.581511179109,6855.44016455062,493.906176,c(549581.511179109, 6855440.16455062)
"758",571.146732134568,6861.05653200898,493.906176,c(571146.732134568, 6861056.53200898)
