"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"4","1997","NBS"," [kg]",3920137.61659789,1731275.09003688,0.782930068331249
"5","1997","NBS"," [kg]",5616952.57287846,2376356.66161435,0.666800040060317
"6","1997","NBS"," [kg]",9355390.31381985,3754496.21571564,0.567393392854044
"7","1997","NBS"," [kg]",11432449.2639072,4574579.39514359,0.548628439148235
"8","1997","NBS"," [kg]",2776137.0114751,1096574.80069776,0.527742484689154
"9","1997","NBS"," [kg]",1784742.29521925,741811.571000649,0.546109312289161
"10","1997","NBS"," [kg]",292464.752745573,126325.248850602,0.564974203606879
"11","1997","NBS"," [kg]",196599.516061789,80346.2536714021,0.522530305537903
"12","1997","NBS"," [kg]",65100.0560168374,27192.7514716647,0.549935133353004
"13","1997","NBS"," [kg]",64807.6987155867,28650.9764427446,0.618161195616275
"1","1998","NBS"," [kg]",14664.0385804416,7875.54053580822,0.823783123496937
"2","1998","NBS"," [kg]",7429258.56222534,2880330.5780928,0.58216080541282
"3","1998","NBS"," [kg]",29282234.1625116,11386071.57684,0.683748639744965
"4","1998","NBS"," [kg]",9017293.18432922,3668087.97881458,0.68477725287034
"5","1998","NBS"," [kg]",6408237.40699338,2598769.69919015,0.626284137345911
"6","1998","NBS"," [kg]",5358858.70179624,2130348.7354468,0.560175987950162
"7","1998","NBS"," [kg]",8129842.65920961,3243731.18894434,0.546864752117419
"8","1998","NBS"," [kg]",3957310.67302742,1546383.54053351,0.521346180948059
"9","1998","NBS"," [kg]",3095951.84365079,1287978.6789058,0.548184185062804
"10","1998","NBS"," [kg]",507966.945285756,215896.371373027,0.556777223404447
"11","1998","NBS"," [kg]",89285.0200084242,36271.8098206072,0.519715240612538
"12","1998","NBS"," [kg]",69297.9940694347,28357.0392819274,0.538666664011041
"13","1998","NBS"," [kg]",48315.0689027928,21118.344949448,0.612316114001271
"1","1999","NBS"," [kg]",16759.3850950837,9080.51759671543,0.842635446898983
"2","1999","NBS"," [kg]",6982033.37380547,2890388.66955542,0.677437594013594
"3","1999","NBS"," [kg]",5927112.55330481,2568660.37606087,0.832611643085755
"4","1999","NBS"," [kg]",4681380.76164242,2009849.98583423,0.752875103700542
"5","1999","NBS"," [kg]",4507814.73572996,1955557.05255035,0.694739165303366
"6","1999","NBS"," [kg]",3621424.68813827,1523730.63335726,0.605514839613881
"7","1999","NBS"," [kg]",4914389.46258552,2042613.45663914,0.575961690427931
"8","1999","NBS"," [kg]",2510818.79217858,1021014.07646277,0.547717799287826
"9","1999","NBS"," [kg]",1834356.77501662,779051.184281378,0.561394348784857
"10","1999","NBS"," [kg]",709426.279864657,300753.424162758,0.556138288718577
"11","1999","NBS"," [kg]",122128.419943529,48908.4314134942,0.512886948289396
"12","1999","NBS"," [kg]",110894.079101685,44790.9361283177,0.531364256576249
"13","1999","NBS"," [kg]",59040.8750532523,25573.56859582,0.607869147573046
"1","2000","NBS"," [kg]",0,0,0
"2","2000","NBS"," [kg]",8238467.25935696,3332410.10537667,0.646007667455404
"3","2000","NBS"," [kg]",3499099.50976476,1481478.26078795,0.794299934590228
"4","2000","NBS"," [kg]",3511299.87632787,1404356.88205136,0.664274511957495
"5","2000","NBS"," [kg]",6169936.93838615,2393606.30173753,0.586106830343615
"6","2000","NBS"," [kg]",7758414.30059924,3006336.35748403,0.5405019462307
"7","2000","NBS"," [kg]",5275889.78194637,2104949.9491862,0.54527458644308
"8","2000","NBS"," [kg]",1381925.83529764,552415.929504723,0.535366163966825
"9","2000","NBS"," [kg]",2364987.17749012,982286.237394346,0.547111007632074
"10","2000","NBS"," [kg]",661476.710606446,276458.589892526,0.546810207083287
"11","2000","NBS"," [kg]",450122.635466381,175932.550276703,0.499337404454199
"12","2000","NBS"," [kg]",140618.391834612,55212.2303419679,0.515556873309602
"13","2000","NBS"," [kg]",67546.5927880123,28840.3677038316,0.598335251782198
"1","2001","NBS"," [kg]",10138.7834129752,5726.49993006795,0.881030960434934
"2","2001","NBS"," [kg]",24544508.761501,9624203.29179941,0.626339890745565
"3","2001","NBS"," [kg]",10526891.2712957,4619466.13252166,0.845393778821105
"4","2001","NBS"," [kg]",5587136.25852213,2374167.86242445,0.733698425136011
"5","2001","NBS"," [kg]",3706735.06556137,1452140.47055633,0.593263427787594
"6","2001","NBS"," [kg]",7781772.71219776,2944540.04788057,0.522533020147041
"7","2001","NBS"," [kg]",10538877.718128,4072709.78627756,0.522081082817693
"8","2001","NBS"," [kg]",4392711.10826862,1663856.41953141,0.498792890866947
"9","2001","NBS"," [kg]",2031101.81585091,845765.85349663,0.54750072183291
"10","2001","NBS"," [kg]",445734.633742239,187575.75261882,0.550532820204106
"11","2001","NBS"," [kg]",365053.208602237,137810.099580593,0.48002799813443
"12","2001","NBS"," [kg]",161709.52155751,63855.7968174013,0.518712563538574
"13","2001","NBS"," [kg]",84854.4046068076,35547.6882778784,0.585391537702436
"1","2002","NBS"," [kg]",39994.8931558951,23030.3603540143,0.891720898636554
"2","2002","NBS"," [kg]",5291499.95213701,2048759.60929921,0.596138282255012
"3","2002","NBS"," [kg]",6862822.90443082,2666174.94089409,0.681478740357951
"4","2002","NBS"," [kg]",9490820.47526528,3664601.67542708,0.622941507927753
"5","2002","NBS"," [kg]",10131153.9776064,3625460.91239358,0.51935688324622
"6","2002","NBS"," [kg]",5421184.98488232,1953708.18451108,0.488180708196167
"7","2002","NBS"," [kg]",6890962.0737334,2585117.30307241,0.502031743776389
"8","2002","NBS"," [kg]",4434540.90114796,1683046.72740545,0.499661091658006
"9","2002","NBS"," [kg]",1824295.42747623,749160.548283119,0.537954676905237
